Date,Price,Open,High,Low,Vol.,Change %
02/02/2023,57.61,55.72,58.08,55.72,363.61K,1.16%
02/01/2023,56.95,53.64,57.14,53.27,176.74K,6.16%
01/31/2023,53.64,52.42,54.4,52.42,46.80K,1.79%
01/30/2023,52.7,51,53.64,51,35.25K,-2.96%
01/27/2023,54.3,52.79,54.49,51.94,106.17K,2.86%
01/26/2023,52.79,52.42,52.89,52.04,23.90K,1.64%
01/25/2023,51.94,52.89,53.36,51.94,26.14K,-1.79%
01/24/2023,52.89,54.4,54.4,52.04,83.29K,-2.95%
01/23/2023,54.49,49.77,57.61,49.77,266.22K,9.90%
01/20/2023,49.58,47.41,49.68,47.41,35.13K,4.58%
01/19/2023,47.41,47.41,48.17,47.32,66.39K,-0.59%
01/18/2023,47.69,48.64,48.73,47.41,41.04K,0.00%
01/17/2023,47.69,47.32,48.92,47.32,128.82K,0.80%
01/13/2023,47.32,47.6,47.69,47.32,26.15K,-1.76%
01/12/2023,48.17,47.69,49.02,47.69,20.20K,0.99%
01/11/2023,47.69,48.17,49.11,47.5,29.40K,-0.98%
01/10/2023,48.17,48.07,49.3,48.07,25.23K,0.59%
01/09/2023,47.88,48.17,49.02,47.6,20.72K,-0.59%
01/05/2023,48.17,48.64,48.64,47.69,33.34K,-1.16%
01/04/2023,48.73,49.58,49.58,48.64,26.81K,-0.77%
01/03/2023,49.11,47.98,49.2,47.98,23.19K,2.97%
01/02/2023,47.69,47.69,47.98,47.22,45.58K,-0.20%
12/30/2022,47.79,47.41,47.88,47.32,21.34K,0.60%
12/29/2022,47.5,47.32,47.5,47.22,19.12K,0.20%
12/28/2022,47.41,47.5,47.5,47.32,10.82K,-0.20%
12/27/2022,47.5,47.32,47.69,47.22,89.40K,-1.37%
12/23/2022,48.17,47.5,48.17,47.22,48.00K,1.39%
12/22/2022,47.5,47.6,47.69,47.22,40.03K,-0.20%
12/21/2022,47.6,48.17,48.17,47.22,21.12K,-0.98%
12/20/2022,48.07,47.41,48.17,47.32,24.80K,-0.20%
12/19/2022,48.17,49.11,49.11,47.69,18.26K,-0.20%
12/16/2022,48.26,48.26,48.64,48.26,20.51K,0.20%
12/15/2022,48.17,48.92,49.58,48.17,17.00K,-1.92%
12/14/2022,49.11,49.49,49.87,48.92,14.44K,-0.76%
12/13/2022,49.49,47.41,49.49,47.22,113.23K,3.97%
12/12/2022,47.6,49.02,49.02,47.22,38.01K,-0.20%
12/09/2022,47.69,48.92,48.92,47.22,50.80K,-0.79%
12/08/2022,48.07,48.17,48.64,47.22,99.83K,-0.20%
12/06/2022,48.17,49.2,49.2,47.22,41.66K,0.00%
12/05/2022,48.17,49.11,49.2,47.22,43.17K,0.00%
12/02/2022,48.17,47.41,48.64,47.22,193.18K,0.99%
12/01/2022,47.69,49.11,49.11,47.22,39.89K,-1.75%
11/30/2022,48.54,47.32,48.54,47.32,22.11K,2.59%
11/29/2022,47.32,47.5,48.17,47.22,8.47K,-0.20%
11/28/2022,47.41,47.98,47.98,47.22,31.26K,-0.59%
11/25/2022,47.69,48.17,48.17,47.22,50.87K,0.60%
11/24/2022,47.41,47.69,47.69,47.13,5.59K,-0.20%
11/23/2022,47.5,47.32,47.6,47.22,74.61K,0.60%
11/22/2022,47.22,47.22,47.6,47.22,90.97K,0.00%
11/21/2022,47.22,47.22,47.69,47.13,183.40K,0.00%
11/18/2022,47.22,48.17,48.26,47.22,197.29K,-3.85%
11/17/2022,49.11,47.22,49.11,47.22,69.11K,4.00%
11/16/2022,47.22,48.17,48.17,47.22,36.63K,-1.96%
11/15/2022,48.17,48.64,49.02,48.17,21.17K,0.00%
11/14/2022,48.17,48.07,48.54,47.41,46.82K,1.59%
11/11/2022,47.41,47.69,47.79,47.13,31.41K,0.20%
11/10/2022,47.32,46.75,47.98,46.28,1.36M,1.21%
11/09/2022,46.75,47.22,47.22,46.18,31.41K,1.23%
11/08/2022,46.18,47.32,47.32,45.99,70.80K,-2.20%
11/04/2022,47.22,47.69,47.69,47.03,10.51K,0.81%
11/03/2022,46.84,47.22,48.07,46.75,15.85K,-0.60%
11/02/2022,47.13,48.35,48.35,46.94,30.23K,-0.20%
11/01/2022,47.22,47.32,48.17,47.13,35.40K,0.00%
10/31/2022,47.22,47.69,47.69,47.22,39.17K,-0.99%
10/28/2022,47.69,47.69,48.17,47.22,26.99K,0.60%
10/27/2022,47.41,47.22,47.69,46.75,89.05K,0.40%
10/26/2022,47.22,47.32,47.41,47.03,47.65K,0.00%
10/25/2022,47.22,48.17,48.17,47.13,37.92K,-0.60%
10/21/2022,47.5,48.07,48.17,47.22,12.47K,-1.18%
10/20/2022,48.07,48.26,48.26,47.13,1.08M,1.80%
10/19/2022,47.22,48.17,48.64,47.22,30.22K,-1.77%
